Date,Symbol,Open,High,Low,Close,Volume,RSI,ATR,ATRMA,VWAP,wk_avg_vol_3mo,rel_vol_wk_3mo,p_rel_vol_wk_3mo,c_rel_vol_signal,p_rel_vol_signal,dp_date,dp_count,dp_volume,dp_spot_avg,dp_notional_value,prev_dp_count,prev_dp_volume,rel_low_VWAP_week,ATR_15day_avg,rel_ATR_15day_avg,prev_RSI_15day,prev_rel_low_VWAP_week,prev_rel_ATR_15day_avg,HL_change,OC_Change,HL_per_change,OC_per_change,prev_HL_per_change,prev_OC_per_change,Cc_Cp,close_change_v_prev,prev_OC_per_change
5/3/21,SPY,419.43,419.84,411.67,415.75,69893301,72.49423,7.295807,7.831776,415.7533,66665666.19,1.048415249,0.932177686,flat,flat,1/0/00,0,0,0,0,65,19026746,0.990178551,7.5637915,1.080146115,88.98351,0.995678854,0.585617978,8.17,-3.68,0.019459794,-0.008773812,0.0105058,-0.000335378,-0.003714354,flat,-0.000335378
4/26/21,SPY,417.44,420.72,416.3,417.3,63759080,88.98351,6.421614,8.673551,418.1067,68397989.94,0.932177686,1.192450343,flat,flat,4/26/21,65,19026746,417.232469,7938974400,125,41360813,0.995678854,7.5475825,0.585617978,88.34498,0.988912875,0.848385484,4.42,-0.14,0.0105058,-0.000335378,0.018314405,0.001153125,0.001343763,flat,0.001153125
4/19/21,SPY,416.26,418.25,410.59,416.74,79600380,88.34498,8.423227,9.634602,415.1933,66753622.44,1.192450343,0.952271095,flat,flat,4/19/21,125,41360813,414.810629,17159000000,104,34443764,0.988912875,9.0289145,0.848385484,91.6328,0.98814015,0.775530884,7.66,0.48,0.018314405,0.001153125,0.018448948,0.015601801,-0.001246225,flat,0.015601801
4/12/21,SPY,410.85,417.91,410.2,417.26,63436540,91.6328,9.186454,10.6967,415.1233,66616051.19,0.952271095,0.96872328,flat,flat,4/12/21,104,34443764,413.520976,14254000000,160,46440210,0.98814015,9.941577,0.775530884,88.45425,0.986628974,0.744455201,7.71,6.41,0.018448948,0.015601801,0.020137489,0.01990284,0.014022212,up_1,0.01990284
4/5/21,SPY,403.46,411.67,403.38,411.49,65701880,88.45425,10.66291,11.60841,408.8467,67823166.19,0.96872328,1.524434796,flat,up,4/5/21,160,46440210,404.84969,18803000000,179,67345312,0.986628974,11.13566,0.744455201,77.90112,0.986885411,0.68698367,8.29,8.03,0.020137489,0.01990284,0.019617141,0.015745436,0.027158583,up_2,0.015745436
3/29/21,SPY,394.4,400.67,392.81,400.61,99196700,77.90112,10.26582,12.61682,398.03,65071133.44,1.524434796,1.581069791,up,up,3/29/21,179,67345312,395.51869,26641000000,0,0,0.986885411,11.44132,0.68698367,70.16445,0.979095208,0.943696189,7.86,6.21,0.019617141,0.015745436,0.031558235,0.015255237,0.01169251,up_1,0.015255237
3/22/21,SPY,390.03,396.41,383.9,395.98,98518280,70.16445,12.67164,13.84113,392.0967,62311151.94,1.581069791,1.547611309,up,up,1/0/00,0,0,0,0,0,0,0.979095208,13.256385,0.943696189,55.62424,0.988678526,0.833332384,12.51,5.95,0.031558235,0.015255237,0.027554506,-0.012299343,0.016688919,up_1,-0.012299343
3/15/21,SPY,394.33,398.12,387.15,389.48,94849500,55.62424,12.83327,13.49476,391.5833,61287675.69,1.547611309,1.698818464,up,up,1/0/00,0,0,0,0,0,0,0.988678526,13.164015,0.833332384,72.13878,0.977056264,1.049175203,10.97,-4.85,0.027554506,-0.012299343,0.035966132,0.024437165,-0.011622596,dn_1,0.024437165
3/8/21,SPY,384.66,395.65,381.42,394.06,99516120,72.13878,14.69654,12.42953,390.3767,58579608.19,1.698818464,2.347807481,up,up,1/0/00,0,0,0,0,0,0,0.977056264,13.563035,1.049175203,49.27463,0.973142797,1.431732886,14.23,9.4,0.035966132,0.024437165,0.048705618,-0.005083119,0.027187655,up_2,-0.005083119
3/1/21,SPY,385.59,390.92,371.88,383.63,128071377,49.27463,15.16308,11.43406,382.1433,54549352.13,2.347807481,2.150105705,up,up,1/0/00,0,0,0,0,0,0,0.973142797,13.29857,1.431732886,38.77261,0.985983821,1.220746766,19.04,-1.96,0.048705618,-0.005083119,0.035693343,-0.017309978,0.008597119,flat,-0.017309978
